type,_id,discipline,city,gender,country,year,sport,medal,event
olympics,59f308051f0d6766995d3c0b,Figure skating,Chamonix,X,FIN,1924,Skating,Silver,pairs
olympics,59f308051f0d6766995d3c0c,Figure skating,Chamonix,W,AUT,1924,Skating,Gold,individual
olympics,59f308051f0d6766995d3c0d,Biathlon,Chamonix,M,FRA,1924,Biathlon,Bronze,military patrol
olympics,59f308051f0d6766995d3c0e,Figure skating,Chamonix,X,FRA,1924,Skating,Bronze,pairs
olympics,59f308051f0d6766995d3c0f,Figure skating,Chamonix,M,AUT,1924,Skating,Silver,individual
olympics,59f308051f0d6766995d3c10,Bobsleigh,Chamonix,M,GBR,1924,Bobsleigh,Silver,four-man
olympics,59f308051f0d6766995d3c11,Speed skating,Chamonix,M,FIN,1924,Skating,Silver,10000m
olympics,59f308051f0d6766995d3c12,Speed skating,Chamonix,M,FIN,1924,Skating,Gold,10000m
olympics,59f308051f0d6766995d3c13,Speed skating,Chamonix,M,FIN,1924,Skating,Gold,5000m
olympics,59f308051f0d6766995d3c14,Curling,Chamonix,M,GBR,1924,Curling,Gold,curling
olympics,59f308051f0d6766995d3c15,Speed skating,Chamonix,M,NOR,1924,Skating,Bronze,10000m
olympics,59f308051f0d6766995d3c16,Ice Hockey,Chamonix,M,GBR,1924,Ice Hockey,Bronze,ice hockey
olympics,59f308051f0d6766995d3c17,Speed skating,Chamonix,M,NOR,1924,Skating,Silver,combined (4 events)
olympics,59f308051f0d6766995d3c18,Figure skating,Chamonix,X,AUT,1924,Skating,Gold,pairs
olympics,59f308051f0d6766995d3c19,Speed skating,Chamonix,M,NOR,1924,Skating,Bronze,500m
olympics,59f308051f0d6766995d3c1a,Curling,Chamonix,M,FRA,1924,Curling,Bronze,curling
olympics,59f308051f0d6766995d3c1b,Nordic Combined,Chamonix,M,NOR,1924,Skiing,Silver,individual
olympics,59f308051f0d6766995d3c1c,Speed skating,Chamonix,M,NOR,1924,Skating,Bronze,1500m
olympics,59f308051f0d6766995d3c1d,Cross Country S,Chamonix,M,NOR,1924,Skiing,Silver,18km
olympics,59f308051f0d6766995d3c1e,Cross Country S,Chamonix,M,NOR,1924,Skiing,Silver,50km
olympics,59f308051f0d6766995d3c1f,Biathlon,Chamonix,M,SUI,1924,Biathlon,Gold,military patrol
olympics,59f308051f0d6766995d3c20,Speed skating,Chamonix,M,FIN,1924,Skating,Silver,5000m
olympics,59f308051f0d6766995d3c21,Cross Country S,Chamonix,M,NOR,1924,Skiing,Gold,18km
olympics,59f308051f0d6766995d3c22,Speed skating,Chamonix,M,USA,1924,Skating,Gold,500m
olympics,59f308051f0d6766995d3c23,Bobsleigh,Chamonix,M,SUI,1924,Bobsleigh,Gold,four-man
olympics,59f308051f0d6766995d3c24,Figure skating,St. Moritz,X,AUT,1928,Skating,Bronze,pairs
olympics,59f308051f0d6766995d3c25,Figure skating,St. Moritz,M,AUT,1928,Skating,Silver,individual
olympics,59f308051f0d6766995d3c26,Ski Jumping,Chamonix,M,NOR,1924,Skiing,Gold,K90 individual (70m)
olympics,59f308051f0d6766995d3c27,Figure skating,St. Moritz,W,NOR,1928,Skating,Gold,individual
olympics,59f308051f0d6766995d3c28,Cross Country S,Chamonix,M,NOR,1924,Skiing,Gold,50km
olympics,59f308051f0d6766995d3c29,Speed skating,St. Moritz,M,NOR,1928,Skating,Silver,1500m
olympics,59f308051f0d6766995d3c2a,Cross Country S,St. Moritz,M,NOR,1928,Skiing,Gold,18km
olympics,59f308051f0d6766995d3c2b,Ice Hockey,Chamonix,M,USA,1924,Ice Hockey,Silver,ice hockey
olympics,59f308051f0d6766995d3c2c,Nordic Combined,Chamonix,M,NOR,1924,Skiing,Bronze,individual
