type,_id,customer_key,order_key,purchase_date
 orders,59f3083d1f0d6766995fb54c,customer_key_0,order_key_0,2016-08-15T17:43:22Z
 orders,59f3083d1f0d6766995fb54d,customer_key_0,order_key_1,2008-01-16T10:28:32Z
 orders,59f3083d1f0d6766995fb54e,customer_key_0,order_key_2,2017-01-01T14:38:52Z
 orders,59f3083d1f0d6766995fb54f,customer_key_0,order_key_3,2007-01-22T13:18:22Z
 orders,59f3083d1f0d6766995fb550,customer_key_1,order_key_4,2009-04-11T13:21:48Z
 orders,59f3083d1f0d6766995fb551,customer_key_1,order_key_5,2014-06-04T18:18:16Z
 orders,59f3083d1f0d6766995fb552,customer_key_1,order_key_6,2015-06-24T12:45:47Z
 orders,59f3083d1f0d6766995fb553,customer_key_1,order_key_7,2014-11-03T14:50:24Z
 orders,59f3083d1f0d6766995fb554,customer_key_2,order_key_8,2007-08-14T09:56:52Z
 orders,59f3083d1f0d6766995fb555,customer_key_2,order_key_9,2017-01-01T18:08:38Z
 orders,59f3083d1f0d6766995fb556,customer_key_2,order_key_10,2016-03-06T18:53:28Z
 orders,59f3083d1f0d6766995fb557,customer_key_2,order_key_11,2008-01-03T08:55:10Z
 orders,59f3083d1f0d6766995fb558,customer_key_3,order_key_12,2012-08-07T08:02:51Z
 orders,59f3083d1f0d6766995fb559,customer_key_3,order_key_13,2014-07-27T13:40:06Z
 orders,59f3083d1f0d6766995fb55a,customer_key_3,order_key_14,2007-01-04T14:01:37Z
 orders,59f3083d1f0d6766995fb55b,customer_key_3,order_key_15,2008-10-26T12:12:55Z
 orders,59f3083d1f0d6766995fb55c,customer_key_4,order_key_16,2017-01-02T18:45:06Z
 orders,59f3083d1f0d6766995fb55d,customer_key_4,order_key_17,2016-01-08T17:16:46Z
 orders,59f3083d1f0d6766995fb55e,customer_key_4,order_key_18,2011-01-28T13:43:42Z
 orders,59f3083d1f0d6766995fb55f,customer_key_4,order_key_19,2014-02-12T14:22:44Z
 orders,59f3083d1f0d6766995fb560,customer_key_5,order_key_20,2017-01-01T17:00:59Z
 orders,59f3083d1f0d6766995fb561,customer_key_5,order_key_21,2016-07-23T10:19:32Z
 orders,59f3083d1f0d6766995fb562,customer_key_5,order_key_22,2013-11-17T13:18:40Z
 orders,59f3083d1f0d6766995fb563,customer_key_5,order_key_23,2016-09-24T09:57:34Z
 orders,59f3083d1f0d6766995fb564,customer_key_6,order_key_24,2013-09-17T09:46:30Z
 orders,59f3083d1f0d6766995fb565,customer_key_6,order_key_25,2007-09-21T09:28:23Z
 orders,59f3083d1f0d6766995fb566,customer_key_6,order_key_26,2010-06-10T17:20:20Z
 orders,59f3083d1f0d6766995fb567,customer_key_6,order_key_27,2009-06-12T14:11:46Z
 orders,59f3083d1f0d6766995fb568,customer_key_7,order_key_28,2014-05-09T08:41:51Z
 orders,59f3083d1f0d6766995fb569,customer_key_7,order_key_29,2007-01-30T12:11:27Z
 orders,59f3083d1f0d6766995fb56a,customer_key_7,order_key_30,2016-09-28T17:13:32Z
 orders,59f3083d1f0d6766995fb56b,customer_key_7,order_key_31,2017-01-02T17:07:54Z
 orders,59f3083d1f0d6766995fb56c,customer_key_8,order_key_32,2008-08-23T12:22:34Z
 orders,59f3083d1f0d6766995fb56d,customer_key_8,order_key_33,2015-03-15T11:17:17Z
 orders,59f3083d1f0d6766995fb56e,customer_key_8,order_key_34,2009-02-15T12:29:00Z
 orders,59f3083d1f0d6766995fb56f,customer_key_8,order_key_35,2010-06-27T15:46:30Z
 orders,59f3083d1f0d6766995fb570,customer_key_9,order_key_36,2015-10-22T17:47:34Z
 orders,59f3083d1f0d6766995fb571,customer_key_9,order_key_37,2009-01-02T16:16:18Z
 orders,59f3083d1f0d6766995fb572,customer_key_9,order_key_38,2007-01-16T14:27:03Z
 orders,59f3083d1f0d6766995fb573,customer_key_9,order_key_39,2013-01-30T18:15:33Z
 orders,59f3083d1f0d6766995fb574,customer_key_10,order_key_40,2017-01-02T15:10:43Z
 orders,59f3083d1f0d6766995fb575,customer_key_10,order_key_41,2016-03-27T15:04:45Z
 orders,59f3083d1f0d6766995fb576,customer_key_10,order_key_42,2016-08-08T14:14:01Z
 orders,59f3083d1f0d6766995fb577,customer_key_10,order_key_43,2013-03-08T12:01:49Z
 orders,59f3083d1f0d6766995fb578,customer_key_11,order_key_44,2013-09-19T08:29:21Z
 orders,59f3083d1f0d6766995fb579,customer_key_11,order_key_45,2015-11-22T12:03:58Z
 orders,59f3083d1f0d6766995fb57a,customer_key_11,order_key_46,2011-06-22T15:48:26Z
 orders,59f3083d1f0d6766995fb57b,customer_key_11,order_key_47,2014-11-25T10:43:30Z
 orders,59f3083d1f0d6766995fb57c,customer_key_12,order_key_48,2013-01-02T09:52:33Z
 orders,59f3083d1f0d6766995fb57d,customer_key_12,order_key_49,2016-03-19T15:59:53Z
 orders,59f3083d1f0d6766995fb57e,customer_key_12,order_key_50,2010-05-24T17:27:13Z
 orders,59f3083d1f0d6766995fb57f,customer_key_12,order_key_51,2010-02-28T16:19:11Z
 orders,59f3083d1f0d6766995fb580,customer_key_13,order_key_52,2016-11-27T15:47:35Z
 orders,59f3083d1f0d6766995fb581,customer_key_13,order_key_53,2016-04-22T08:03:22Z
 orders,59f3083d1f0d6766995fb582,customer_key_13,order_key_54,2011-04-11T18:10:32Z
 orders,59f3083d1f0d6766995fb583,customer_key_13,order_key_55,2010-10-28T12:39:40Z
 orders,59f3083d1f0d6766995fb584,customer_key_14,order_key_56,2010-11-26T09:59:53Z
 orders,59f3083d1f0d6766995fb585,customer_key_14,order_key_57,2013-02-18T11:18:47Z
 orders,59f3083d1f0d6766995fb586,customer_key_14,order_key_58,2012-09-18T08:59:37Z
 orders,59f3083d1f0d6766995fb587,customer_key_14,order_key_59,2016-05-23T18:44:12Z
 orders,59f3083d1f0d6766995fb588,customer_key_15,order_key_60,2011-08-22T12:05:54Z
 orders,59f3083d1f0d6766995fb589,customer_key_15,order_key_61,2009-07-03T08:32:51Z
 orders,59f3083d1f0d6766995fb58a,customer_key_15,order_key_62,2013-11-01T09:52:13Z
 orders,59f3083d1f0d6766995fb58b,customer_key_15,order_key_63,2016-10-26T10:33:05Z
 orders,59f3083d1f0d6766995fb58c,customer_key_16,order_key_64,2015-05-23T08:01:24Z
 orders,59f3083d1f0d6766995fb58d,customer_key_16,order_key_65,2015-07-23T08:56:14Z
 orders,59f3083d1f0d6766995fb58e,customer_key_16,order_key_66,2014-02-12T14:55:29Z
 orders,59f3083d1f0d6766995fb58f,customer_key_16,order_key_67,2011-11-30T18:50:41Z
 orders,59f3083d1f0d6766995fb590,customer_key_17,order_key_68,2010-09-07T16:50:17Z
 orders,59f3083d1f0d6766995fb591,customer_key_17,order_key_69,2014-07-23T14:05:14Z
 orders,59f3083d1f0d6766995fb592,customer_key_17,order_key_70,2017-01-02T13:09:43Z
 orders,59f3083d1f0d6766995fb593,customer_key_17,order_key_71,2011-05-20T17:50:12Z
 orders,59f3083d1f0d6766995fb594,customer_key_18,order_key_72,2016-08-15T15:02:16Z
 orders,59f3083d1f0d6766995fb595,customer_key_18,order_key_73,2010-08-14T12:23:59Z
 orders,59f3083d1f0d6766995fb596,customer_key_18,order_key_74,2016-10-08T16:31:54Z
 orders,59f3083d1f0d6766995fb597,customer_key_18,order_key_75,2016-09-17T09:15:47Z
 orders,59f3083d1f0d6766995fb598,customer_key_19,order_key_76,2007-10-20T16:03:00Z
 orders,59f3083d1f0d6766995fb599,customer_key_19,order_key_77,2012-07-01T14:00:34Z
 orders,59f3083d1f0d6766995fb59a,customer_key_19,order_key_78,2017-01-02T18:31:34Z
 orders,59f3083d1f0d6766995fb59b,customer_key_19,order_key_79,2016-05-03T11:14:13Z
 orders,59f3083d1f0d6766995fb59c,customer_key_20,order_key_80,2010-02-16T12:51:53Z
 orders,59f3083d1f0d6766995fb59d,customer_key_20,order_key_81,2011-06-18T10:34:16Z
 orders,59f3083d1f0d6766995fb59e,customer_key_20,order_key_82,2011-06-30T11:05:10Z
 orders,59f3083d1f0d6766995fb59f,customer_key_20,order_key_83,2011-10-22T13:13:19Z
 orders,59f3083d1f0d6766995fb5a0,customer_key_21,order_key_84,2017-01-01T16:57:14Z
 orders,59f3083d1f0d6766995fb5a1,customer_key_21,order_key_85,2017-01-01T09:47:34Z
 orders,59f3083d1f0d6766995fb5a2,customer_key_21,order_key_86,2008-10-29T12:36:21Z
 orders,59f3083d1f0d6766995fb5a3,customer_key_21,order_key_87,2008-10-23T13:48:37Z
 orders,59f3083d1f0d6766995fb5a4,customer_key_22,order_key_88,2009-04-06T08:34:32Z
 orders,59f3083d1f0d6766995fb5a5,customer_key_22,order_key_89,2017-01-01T14:28:06Z
 orders,59f3083d1f0d6766995fb5a6,customer_key_22,order_key_90,2008-02-22T17:07:36Z
 orders,59f3083d1f0d6766995fb5a7,customer_key_22,order_key_91,2007-10-24T10:11:00Z
 orders,59f3083d1f0d6766995fb5a8,customer_key_23,order_key_92,2008-02-01T17:18:29Z
 orders,59f3083d1f0d6766995fb5a9,customer_key_23,order_key_93,2013-01-18T17:10:05Z
 orders,59f3083d1f0d6766995fb5aa,customer_key_23,order_key_94,2008-06-05T09:58:43Z
 orders,59f3083d1f0d6766995fb5ab,customer_key_23,order_key_95,2016-05-11T15:39:34Z
 orders,59f3083d1f0d6766995fb5ac,customer_key_24,order_key_96,2017-01-01T18:17:43Z
 orders,59f3083d1f0d6766995fb5ad,customer_key_24,order_key_97,2013-10-17T12:33:04Z
 orders,59f3083d1f0d6766995fb5ae,customer_key_24,order_key_98,2016-05-04T13:46:31Z
 orders,59f3083d1f0d6766995fb5af,customer_key_24,order_key_99,2015-11-25T14:52:07Z
 orders,59f3083d1f0d6766995fb5b0,customer_key_25,order_key_100,2017-01-01T16:14:53Z
 orders,59f3083d1f0d6766995fb5b1,customer_key_25,order_key_101,2008-08-11T13:41:37Z
 orders,59f3083d1f0d6766995fb5b2,customer_key_25,order_key_102,2010-04-24T13:43:51Z
 orders,59f3083d1f0d6766995fb5b3,customer_key_25,order_key_103,2015-04-05T15:53:34Z
 orders,59f3083d1f0d6766995fb5b4,customer_key_26,order_key_104,2016-10-31T09:09:26Z
 orders,59f3083d1f0d6766995fb5b5,customer_key_26,order_key_105,2010-11-26T10:19:58Z
 orders,59f3083d1f0d6766995fb5b6,customer_key_26,order_key_106,2014-10-07T13:26:48Z
 orders,59f3083d1f0d6766995fb5b7,customer_key_26,order_key_107,2009-03-14T11:50:36Z
 orders,59f3083d1f0d6766995fb5b8,customer_key_27,order_key_108,2009-06-30T10:54:17Z
 orders,59f3083d1f0d6766995fb5b9,customer_key_27,order_key_109,2008-06-30T15:13:56Z
 orders,59f3083d1f0d6766995fb5ba,customer_key_27,order_key_110,2007-02-28T08:47:22Z
 orders,59f3083d1f0d6766995fb5bb,customer_key_27,order_key_111,2017-01-01T16:13:57Z
